title,brand,color,gender,type,price,original_price,size,condition,department,category,days_to_sell
Adidas Slides,adidas,Unknown,Unisex,Other,13.0,25.0,12,not_nwt,Unknown,Other,10
Adidas casual sneakers,adidas,brown,Unisex,Shoe,20.0,75.0,13,not_nwt,Unknown,Other,459
Adidas Hoodie,adidas,green,Unisex,Other,25.0,75.0,XL,not_nwt,Unknown,Other,2
Adidas soccer cleats,adidas,green,Unisex,Shoe,25.0,60.0,7.5,not_nwt,Unknown,Shoes,1
Adidas SL Loop Runner Men's 9.5,adidas,red,Male,Other,24.0,24.0,9.5,not_nwt,Unknown,Other,69
Adidas men’s sneakers,adidas,black,Unisex,Shoe,8.0,75.0,5.5,Unknown,Unknown,Other,324
Worn once adidas swift,adidas,Unknown,Unisex,Other,22.0,90.0,7.5,Unknown,Unknown,Shoes,257
Adidas size 11,adidas,green,Male,Shoe,40.0,80.0,11,nwt,Unknown,Other,10
NWT Adidas X The Simpson ADILETTE Comfort Slides SZ-W7/M6,adidas,red,Male,Other,58.0,999.0,7,nwt,Unknown,Shoes,389
Adidas white sneakers End Plastic Waste,adidas,Unknown,Unisex,Shoe,17.0,85.0,7.5,Unknown,Unknown,Shoes,831
Adidas X Karlie Kloss X9000,adidas,Unknown,Unisex,Other,95.0,140.0,9,nwt,Unknown,Shoes,461
"New women’s Adidas Barbie pink running shoes, size 8.5",adidas,pink,Male,Shoe,60.0,80.0,8.5,nwt,Unknown,Shoes,135
Men’s short sleeve 3XL blue orange adidas tee,adidas,blue,Male,Shirt,12.0,12.0,3XL,Unknown,Unknown,Other,176
Adidas Black Amplifier Tee Shirt Size Large,adidas,black,Unisex,Shirt,10.0,10.0,L,Unknown,Unknown,Other,222
ADIDAS mens sz 9,adidas,white,Male,Other,20.0,80.0,9,Unknown,Unknown,Other,102
Adidas Harden Vol 4 Mens Sz 17,adidas,Unknown,Male,Shoe,50.0,135.0,17,Unknown,Unknown,Other,16
Adidas leather mens 13,adidas,Unknown,Male,Other,30.0,150.0,13,Unknown,Unknown,Other,152
Adidas Terrex Free Hiker Primeblue Womens Hiking Shoes Size 11 Pink FZ3129 NEW,adidas,blue,Male,Shoe,63.0,200.0,11,nwt,Unknown,Shoes,77
Adidas Men’s Classic Grey Casual Sneakers - Size 10,adidas,red,Male,Shoe,11.0,99.0,10,Unknown,Unknown,Other,18
Adidas Golf Quarter Zip pull over sweater,adidas,Unknown,Unisex,Other,12.0,12.0,M,Unknown,Unknown,Jackets & Blazers,327
Men's Shoe's Adidas,adidas,blue,Male,Other,30.0,65.0,8.5,not_nwt,Unknown,Other,133
