title,brand,color,gender,type,price,original_price,size,condition,department,category,days_to_sell
"Excellent Condition Nike Air Force 1 White/Gold Low Tops, Womens Size 7",Nike,Unknown,Unisex,Shoe,39.0,45.0,7,not_nwt,Unknown,Shoes,18
US Womens 9.5/10 - Mens 8 Nike Air VaporMax Plus,Nike,Unknown,Male,Shoe,120.0,210.0,US 8,Unknown,Unknown,Other,12
Nike Pegasus 30 Coral Gray Women's Running Shoes 599392-604,Nike,Unknown,Male,Other,45.0,45.0,6.5,Unknown,Unknown,Shoes,684
Nike Adult Shirt Red Yellow Button Up USC Trojans Team Logo Pocket Mens Size XL,Nike,red,Male,Shirt,17.0,17.0,XL,not_nwt,Unknown,Other,32
"NEW NIKE AIR MAX 270 Sneakers Pink, Fits Women Wearing Size 8.5",Nike,Unknown,Male,Shoe,144.0,144.0,8.5,nwt,Unknown,Shoes,32
Women’s Nike vapormax,Nike,Unknown,Unisex,Other,42.0,150.0,10,Unknown,Unknown,Shoes,12
Nike | Zoom black walking shoe - 10,Nike,black,Male,Shoe,15.0,15.0,10,Unknown,Unknown,Shoes,631
"Nike Cortez , barely worn ! #nike #y2k #2000shoes",Nike,Unknown,Unisex,Shoe,45.0,160.0,8,Unknown,Unknown,Shoes,272
Nike Blazer Mid 77 Classic Summit White/Pinksicle Youth Size 11.,Nike,Unknown,Unisex,Shoe,36.0,69.0,11.5G,Unknown,Unknown,Other,28
Nike size 8 gray tennis shoes,Nike,gray,Unisex,Shoe,18.0,18.0,8,not_nwt,Unknown,Shoes,150
Beautiful pair of Nike Air Max Excee,Nike,Unknown,Unisex,Shoe,31.0,100.0,9.5,Unknown,Unknown,Shoes,321
Nike Small Sportswear Tech Fleece Washed Full-Zip Mens Hoodie Jacket,Nike,Unknown,Unisex,Jacket,41.0,140.0,S,Unknown,Unknown,Other,59
Nike Free RN Flyknit Size 7.5 Women's Sneaker Athletic Shoes Fuschia Hot Pink,Nike,pink,Male,Shoe,7.0,98.0,7.5,not_nwt,Unknown,Shoes,28
Nike Tank Top  Size S,Nike,white,Unisex,Shirt,10.0,55.0,S,not_nwt,Unknown,Tops,8
Nike dri fit tank size L,Nike,Unknown,Unisex,Other,16.0,30.0,L,not_nwt,Unknown,Tops,133
Nike shorts,Nike,red,Male,Other,15.0,40.0,L,not_nwt,Unknown,Other,91
Mens Nike Shorts,Nike,red,Male,Other,11.0,40.0,L,not_nwt,Unknown,Other,92
Nike vintage athletic womans sneakers shoes 9,Nike,Unknown,Unisex,Other,17.0,999.0,9,Unknown,Unknown,Shoes,1186
"Nike Men's Phantom GT2 Academy FG/MG DA4433-007
Black Soccer Cleats Size US 10",Nike,black,Unisex,Other,44.0,250.0,10,not_nwt,Unknown,Other,24
Nike Women's Revolution White Leopard Print Sneakers 8,Nike,white,Male,Shoe,12.0,75.0,US 8,Unknown,Unknown,Shoes,16
Nike polo shirt,Nike,red,Unisex,Shirt,10.0,55.0,XXL,Unknown,Unknown,Other,54
"Nike React Vision ""Hyper Crimson"" CI7523 104 Women's Running Shoes 8.5",Nike,red,Unisex,Other,39.0,39.0,8.5,not_nwt,Unknown,Shoes,8
Nike tee cat,Nike,Unknown,Unisex,Other,13.0,45.0,SG,Unknown,Unknown,Other,6
Nike Koko size 8 Black & White,Nike,Unknown,Unisex,Other,15.0,15.0,8,Unknown,Unknown,Shoes,31
Nike Size 5 Women’s Court Vision Alta Used DM0113-002 Excellent Condition,Nike,black,Male,Other,39.0,80.0,5,not_nwt,Unknown,Shoes,1
NIKE AIR FORCE 1 HI UT 2.0,Nike,Unknown,Unisex,Other,68.0,160.0,9,not_nwt,Unknown,Shoes,42
Nike Sweatshirt,Nike,red,Unisex,Shirt,20.0,20.0,M,Unknown,Unknown,Other,35
Nike Pullover Hoodie Black Large Center Swoosh Logo NIKE,Nike,black,Unisex,Other,20.0,20.0,L,not_nwt,Unknown,Other,48
Nike Flex TR 5 women’s Black Running Shoes,Nike,black,Male,Shoe,15.0,85.0,8,not_nwt,Unknown,Shoes,2
Nike White and Black Court Legacy LiFT Sneakers,Nike,black,Unisex,Shoe,50.0,90.0,7.5,not_nwt,Unknown,Shoes,16
Kids White Nike Shoes,Nike,white,Unisex,Other,9.0,9.0,10B,not_nwt,Unknown,Other,7
Nike Air Max 270 University Red Sneaker Size 11,Nike,red,Unisex,Shoe,50.0,160.0,11,Unknown,Unknown,Other,31
Men’s Medium Nike Pullover Hooded Sweatshirt Ripped Pouch,Nike,Unknown,Male,Shirt,11.0,11.0,M,not_nwt,Unknown,Other,39
Nike Running Shoes - Black and Orange,Nike,Unknown,Male,Other,14.0,99999.0,8,Unknown,Unknown,Shoes,29
Men’s Nike Dri-Fit Knit Tank Size Small,Nike,blue,Male,Other,20.0,65.0,S,Unknown,Unknown,Other,261
Nike Renew running shoes,Nike,black,Male,Other,25.0,99999.0,8.5,Unknown,Unknown,Shoes,8
Nike Tennis Shoes,Nike,Unknown,Unisex,Other,22.0,85.0,9.5,Unknown,Unknown,Shoes,11
Women’s Nike Air Huarache - size 7,Nike,Unknown,Male,Other,45.0,125.0,7,Unknown,Unknown,Shoes,52
Worn Once! Nike 343882-61 Benassi Black Pink Slides Slippers Size 9 Women’s,Nike,black,Male,Other,26.0,26.0,9,Unknown,Unknown,Shoes,10
Beautiful  nike air max vapormax pink white 3.0 women sneakers 2022 brand new,Nike,Unknown,Male,Shoe,125.0,236.0,8.5,nwt,Unknown,Shoes,6
